Utroligt:Mirakel i Parken;https://ekstrabladet.dk/musik/koncert_anmeldelser/utroligt-mirakel-i-parken/9849767
Sussis dom: Simpelthenfantastisk;https://ekstrabladet.dk/musik/koncert_anmeldelser/sussis-dom-simpelthen-fantastisk/9847959
Rystende diva:Enden var god;https://ekstrabladet.dk/musik/koncert_anmeldelser/rystende-diva-enden-var-god/9843551
Nossede i det:Kom op fra slap;https://ekstrabladet.dk/musik/koncert_anmeldelser/nossede-i-det-kom-op-fra-slap/9843541
Gamle mænd amokpå Roskilde;https://ekstrabladet.dk/musik/koncert_anmeldelser/gamle-maend-amok-paa-roskilde/9842618
Historisk kollapspå Roskilde;https://ekstrabladet.dk/musik/koncert_anmeldelser/historisk-kollaps-paa-roskilde/9842610
Roskilde taget irøven af stjerne;https://ekstrabladet.dk/musik/koncert_anmeldelser/roskilde-taget-i-roeven-af-stjerne/9840373
Megafest kortslutterpå Orange;https://ekstrabladet.dk/musik/koncert_anmeldelser/megafest-kortslutter-paa-orange/9840291
Uværdigt:Skændsel på Orange;https://ekstrabladet.dk/musik/koncert_anmeldelser/uvaerdigt-skaendsel-paa-orange/9840273
Pink panter:Fucking Roskilde;https://ekstrabladet.dk/musik/koncert_anmeldelser/pink-panter-fucking-roskilde/9838450
Dumper: Uegnetpå Roskilde;https://ekstrabladet.dk/musik/koncert_anmeldelser/dumper-uegnet-paa-roskilde/9838433
Blasfemi: Gudersvigtet i Parken;https://ekstrabladet.dk/musik/koncert_anmeldelser/blasfemi-guder-svigtet-i-parken/9836925
Kæmpe fuser:Lallede legender;https://ekstrabladet.dk/musik/koncert_anmeldelser/kaempe-fuser-lallede-legender/9832318
Brutal fiasko:Ladt helt i stikken;https://ekstrabladet.dk/musik/koncert_anmeldelser/brutal-fiasko-ladt-helt-i-stikken/9832197
Popchok i nat:Skete det lige?!;https://ekstrabladet.dk/musik/koncert_anmeldelser/popchok-i-nat-skete-det-lige/9831476
Advarsel! Jydeer livsfarlig;https://ekstrabladet.dk/musik/koncert_anmeldelser/advarsel-jyde-er-livsfarlig/9831004
Skandale: Hovednavnsaboteret;https://ekstrabladet.dk/musik/koncert_anmeldelser/skandale-hovednavn-saboteret/9828709
Dobbelt dårligt:Rend og hiphop;https://ekstrabladet.dk/musik/koncert_anmeldelser/dobbelt-daarligt-rend-og-hiphop/9828704
Christopherbør skifte job;https://ekstrabladet.dk/musik/koncert_anmeldelser/christopher-boer-skifte-job/9828657
Folk flygtede:Helt sindssygt;https://ekstrabladet.dk/musik/koncert_anmeldelser/folk-flygtede-helt-sindssygt/9819105
Kæmpe klovnødelægger festen;https://ekstrabladet.dk/musik/koncert_anmeldelser/kaempe-klovn-oedelaegger-festen/9819104
Stadig skæg:Buler i bluesen;https://ekstrabladet.dk/musik/koncert_anmeldelser/stadig-skaeg-buler-i-bluesen/9819071
Tæskehold stormerfestival igen;https://ekstrabladet.dk/musik/koncert_anmeldelser/taeskehold-stormer-festival-igen/9817221
Dansk trio villedræbe publikum;https://ekstrabladet.dk/musik/koncert_anmeldelser/dansk-trio-ville-draebe-publikum/9817220
Overlever tragediepå Copenhell;https://ekstrabladet.dk/musik/koncert_anmeldelser/overlever-tragedie-paa-copenhell/9815478
Jordskælv påRefshaleøen;https://ekstrabladet.dk/musik/koncert_anmeldelser/jordskaelv-paa-refshaleoeen/9815475
Hvad fanden ihelvede er det?!;https://ekstrabladet.dk/musik/koncert_anmeldelser/hvad-fanden-i-helvede-er-det/9815471
Heicks dom:Musikken druknede;https://ekstrabladet.dk/musik/koncert_anmeldelser/heicks-dom-musikken-druknede/9811718
Sukkerkolde:Kom 36 år for sent;https://ekstrabladet.dk/musik/koncert_anmeldelser/sukkerkolde-kom-36-aar-for-sent/9813134
Helt til grin:Röv og nögler;https://ekstrabladet.dk/musik/koncert_anmeldelser/helt-til-grin-rov-og-nogler/9813131
Hårdt ramt påhovedscenen;https://ekstrabladet.dk/musik/koncert_anmeldelser/haardt-ramt-paa-hovedscenen/9813128
Topband slogesmed publikum;https://ekstrabladet.dk/musik/koncert_anmeldelser/topband-sloges-med-publikum/9807572
Legende skamfereti København;https://ekstrabladet.dk/musik/koncert_anmeldelser/legende-skamferet-i-koebenhavn/9807555
Utroligt fænomenpå dansk jord;https://ekstrabladet.dk/musik/koncert_anmeldelser/utroligt-faenomen-paa-dansk-jord/9806863
Håbløst: Kæmpekø til ingenting;https://ekstrabladet.dk/musik/koncert_anmeldelser/haabloest-kaempe-koe-til-ingenting/9805086
Massepsykose:Hvad sker der?!;https://ekstrabladet.dk/musik/koncert_anmeldelser/massepsykose-hvad-sker-der/9795150
